[2025-11-12 02:07:44] [UNKNOWN] server.port "28015"
[2025-11-12 02:07:44] [UNKNOWN] server.level "Procedural Map"
[2025-11-12 02:07:44] [UNKNOWN] server.identity "my_server_identity"
[2025-11-12 02:17:26] [USER 76561199145125286 38.150.15.252:39088] lighttoggle
[2025-11-12 02:17:27] [USER 76561199145125286 38.150.15.252:39088] lighttoggle
[2025-11-12 02:17:27] [USER 76561199145125286 38.150.15.252:39088] lighttoggle
[2025-11-12 02:17:29] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:17:44] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:17:52] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:18:03] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:18:14] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:18:18] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:18:25] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:18:33] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:18:48] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:18:57] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:19:05] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:19:16] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:19:23] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:19:50] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:20:14] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:20:17] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:20:21] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:20:44] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:21:10] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:21:13] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:21:14] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:21:31] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:21:33] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:21:46] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:22:18] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:22:19] [USER 76561199145125286 38.150.15.252:39088] lighttoggle
[2025-11-12 02:22:38] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:22:46] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:22:48] [USER 76561199145125286 38.150.15.252:39088] lighttoggle
[2025-11-12 02:22:48] [USER 76561199145125286 38.150.15.252:39088] lighttoggle
[2025-11-12 02:23:17] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:23:26] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:24:07] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:24:14] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:24:21] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:27:31] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:29:22] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:30:27] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:31:04] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:31:27] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:31:33] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:31:36] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:31:41] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:31:49] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:31:54] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:32:11] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:32:26] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:32:28] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:32:40] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:32:42] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:32:47] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:32:57] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:33:10] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:35:17] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:41:03] [USER 76561199145125286 38.150.15.252:39088] lighttoggle
[2025-11-12 02:41:03] [USER 76561199145125286 38.150.15.252:39088] lighttoggle
[2025-11-12 02:41:09] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:41:42] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:41:46] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:42:11] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:42:16] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:42:21] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:42:30] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:42:43] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:42:47] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:42:53] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:42:55] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:43:01] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:43:10] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:43:16] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:44:08] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:44:18] [USER 76561199145125286 38.150.15.252:39088] lighttoggle
[2025-11-12 02:44:20] [USER 76561199145125286 38.150.15.252:39088] lighttoggle
[2025-11-12 02:47:21] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:47:56] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:48:13] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:48:17] [USER 76561199145125286 38.150.15.252:39088] lighttoggle
[2025-11-12 02:49:11] [USER 76561199145125286 38.150.15.252:39088] craft.add "-2072273936" "4" "0"
[2025-11-12 02:49:38] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:49:41] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:49:58] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:50:22] [USER 76561199145125286 38.150.15.252:39088] lighttoggle
[2025-11-12 02:50:22] [USER 76561199145125286 38.150.15.252:39088] lighttoggle
[2025-11-12 02:50:34] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:51:31] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:51:42] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:51:46] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:51:50] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:51:55] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:51:59] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:52:08] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:52:12] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 02:52:19] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
