[2025-11-20 03:33:52] [UNKNOWN] server.port "63579"
[2025-11-20 03:33:52] [UNKNOWN] server.identity "my_server_identity"
[2025-11-20 04:43:14] [UNKNOWN] server.port "63579"
[2025-11-20 04:43:14] [UNKNOWN] server.identity "my_server_identity"
[2025-11-20 04:50:56] [UNKNOWN] server.port "63579"
[2025-11-20 04:50:56] [UNKNOWN] server.identity "my_server_identity"
[2025-11-20 04:50:56] [UNKNOWN] server.encryption "0"
[2025-11-20 05:01:09] [USER 76561199145125286 38.150.15.252:48671] inventory.endloot
[2025-11-20 13:20:47] [UNKNOWN] server.port "63579"
[2025-11-20 13:20:47] [UNKNOWN] server.identity "my_server_identity"
[2025-11-20 13:55:34] [USER 76561199145125286 38.175.200.129:36834] lighttoggle
[2025-11-20 13:55:34] [USER 76561199145125286 38.175.200.129:36834] lighttoggle
[2025-11-20 13:55:39] [USER 76561199145125286 38.175.200.129:36834] inventory.endloot
[2025-11-20 13:55:48] [USER 76561199145125286 38.175.200.129:36834] inventory.endloot
[2025-11-20 13:56:00] [USER 76561199145125286 38.175.200.129:36834] inventory.endloot
[2025-11-20 13:56:05] [USER 76561199145125286 38.175.200.129:36834] lighttoggle
[2025-11-20 13:56:05] [USER 76561199145125286 38.175.200.129:36834] lighttoggle
[2025-11-20 13:56:06] [USER 76561199145125286 38.175.200.129:36834] lighttoggle
[2025-11-20 13:56:21] [USER 76561199145125286 38.175.200.129:36834] lighttoggle
[2025-11-20 13:56:58] [USER 76561199145125286 38.175.200.129:36834] inventory.endloot
[2025-11-20 13:57:03] [USER 76561199145125286 38.175.200.129:36834] inventory.endloot
[2025-11-20 13:58:38] [USER 76561199145125286 38.175.200.129:36834] inventory.endloot
[2025-11-20 14:00:43] [USER 76561199145125286 38.175.200.129:36834] lighttoggle
[2025-11-20 14:00:43] [USER 76561199145125286 38.175.200.129:36834] lighttoggle
[2025-11-20 14:01:07] [USER 76561199145125286 38.175.200.129:36834] inventory.endloot
[2025-11-20 14:01:16] [USER 76561199145125286 38.175.200.129:36834] inventory.endloot
